age1	male	ethnicity	time100	risk100	risk100_lci	risk100_uci
50	0	"White"	100	6.852547	6.103516	7.69496
50	0	"Mixed"	100	10.24177	7.969141	13.16667
50	0	"Asian or Asian British"	100	9.729468	8.481741	11.15799
50	0	"Black"	100	10.57154	8.958578	12.46929
50	0	"Other"	100	8.962605	7.289648	11.0209
50	1	"White"	100	9.94546	8.85129	11.16991
50	1	"Mixed"	100	14.86431	11.5633	19.10925
50	1	"Asian or Asian British"	100	14.1208	12.32028	16.18266
50	1	"Black"	100	15.3429	13.01169	18.09001
50	1	"Other"	100	13.00784	10.57982	15.99193
60	0	"White"	100	17.71987	16.22438	19.35363
60	0	"Mixed"	100	26.48329	20.80202	33.71239
60	0	"Asian or Asian British"	100	25.15867	22.38154	28.27644
60	0	"Black"	100	27.33594	23.54383	31.73947
60	0	"Other"	100	23.17584	19.07945	28.15127
60	1	"White"	100	25.71715	23.54383	28.09167
60	1	"Mixed"	100	38.43489	30.19571	48.91753
60	1	"Asian or Asian British"	100	36.5126	32.52625	40.99011
60	1	"Black"	100	39.67225	34.19518	46.02671
60	1	"Other"	100	33.63508	27.69828	40.8411
65	0	"White"	100	29.43472	26.97706	32.11498
65	0	"Mixed"	100	43.9905	34.55281	56.00452
65	0	"Asian or Asian British"	100	41.7904	37.18138	46.96846
65	0	"Black"	100	45.40667	39.10661	52.72627
65	0	"Other"	100	38.49703	31.69179	46.75984
65	1	"White"	100	42.71798	39.14833	46.61679
65	1	"Mixed"	100	63.84036	50.15135	81.26497
65	1	"Asian or Asian British"	100	60.64782	54.01969	68.09235
65	1	"Black"	100	65.89535	56.78535	76.4668
65	1	"Other"	100	55.86876	46.00286	67.84797
70	0	"White"	100	49.92043	45.78233	54.43096
70	0	"Mixed"	100	74.60281	58.59137	94.99192
70	0	"Asian or Asian British"	100	70.87225	63.04979	79.66161
70	0	"Black"	100	77.0041	66.31613	89.41888
70	0	"Other"	100	65.28777	53.74551	79.30994
70	1	"White"	100	72.44509	66.39957	79.04172
70	1	"Mixed"	100	108.2584	85.02007	137.8477
70	1	"Asian or Asian British"	100	102.8457	91.55869	115.5198
70	1	"Black"	100	111.7424	96.26151	129.7116
70	1	"Other"	100	94.74306	77.99268	115.0846
80	0	"White"	100	149.0972	137.0192	162.2379
80	0	"Mixed"	100	222.7613	175.035	283.4857
80	0	"Asian or Asian British"	100	211.6298	188.4222	237.6914
80	0	"Black"	100	229.9259	198.1854	266.7427
80	0	"Other"	100	194.9649	160.5868	236.69
80	1	"White"	100	216.323	198.4	235.8675
80	1	"Mixed"	100	323.1475	253.7966	411.4091
80	1	"Asian or Asian British"	100	307.0074	273.2635	344.9142
80	1	"Black"	100	333.5355	287.3659	387.1083
80	1	"Other"	100	282.8427	232.8515	343.5433
