age1	male	ethnicity	time100	risk100	risk100_lci	risk100_uci
50	0	"White"	100	50.60865	47.55259	53.85876
50	0	"Mixed"	100	86.51937	75.41776	99.25961
50	0	"Asian or Asian British"	100	85.4114	79.23245	92.0713
50	0	"Black"	100	102.2089	93.28723	111.9852
50	0	"Other"	100	79.76421	71.25139	89.29372
50	1	"White"	100	70.83627	66.56647	75.37604
50	1	"Mixed"	100	121.0913	105.5539	138.9146
50	1	"Asian or Asian British"	100	119.5409	110.954	128.7878
50	1	"Black"	100	143.0457	130.5938	156.6827
50	1	"Other"	100	111.6384	99.74837	124.9433
60	0	"White"	100	65.74722	61.82194	69.92221
60	0	"Mixed"	100	112.3939	97.90659	129.0202
60	0	"Asian or Asian British"	100	110.9547	102.818	119.7338
60	0	"Black"	100	132.7724	121.0809	145.5903
60	0	"Other"	100	103.6196	92.50045	116.0741
60	1	"White"	100	92.02276	86.5221	97.87083
60	1	"Mixed"	100	157.2968	137.0251	180.5663
60	1	"Asian or Asian British"	100	155.2832	143.9631	167.495
60	1	"Black"	100	185.8093	169.4798	203.7048
60	1	"Other"	100	145.0196	129.4792	162.4227
65	0	"White"	100	81.50498	76.59793	86.73072
65	0	"Mixed"	100	139.3237	121.3014	160.0266
65	0	"Asian or Asian British"	100	137.54	127.3274	148.5705
65	0	"Black"	100	164.581	149.9713	180.608
65	0	"Other"	100	128.4484	114.5899	143.981
65	1	"White"	100	114.0744	107.1692	121.4206
65	1	"Mixed"	100	194.975	169.7361	223.9644
65	1	"Asian or Asian British"	100	192.4795	178.2298	207.8652
65	1	"Black"	100	230.3093	209.8739	252.7356
65	1	"Other"	100	179.7596	160.3723	201.4875
70	0	"White"	100	105.9686	99.59937	112.7422
70	0	"Mixed"	100	181.1258	157.6722	208.0619
70	0	"Asian or Asian British"	100	178.8074	165.4863	193.2025
70	0	"Black"	100	213.953	194.9251	234.8304
70	0	"Other"	100	166.9903	148.952	187.2063
70	1	"White"	100	148.3065	139.308	157.8867
70	1	"Mixed"	100	253.4533	220.5789	291.2164
70	1	"Asian or Asian British"	100	250.2103	231.564	270.3547
70	1	"Black"	100	299.3694	272.6972	328.6481
70	1	"Other"	100	233.6797	208.4076	262.0101
80	0	"White"	100	195.3583	183.475	208.0083
80	0	"Mixed"	100	333.8083	290.4236	383.6632
80	0	"Asian or Asian British"	100	329.5388	304.6453	356.4656
80	0	"Black"	100	394.253	358.9034	433.0814
80	0	"Other"	100	307.7754	274.3483	345.2659
80	1	"White"	100	273.3613	256.3536	291.4965
80	1	"Mixed"	100	466.9625	406.0269	537.014
80	1	"Asian or Asian British"	100	460.9938	425.8752	499.0041
80	1	"Black"	100	551.4513	501.6327	606.2031
80	1	"Other"	100	430.5676	383.5797	483.2983
